"洗衣机智能投放的地方关不紧，推到底卡住过半小时就有一条缝出来，正常吗
刚用一周不到",你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门调整，谢谢
自动添加洗衣液感觉加不上,尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况建议您看一下模式有没有调正确，或者您关闭开关再重新启动试试，如果还是不能正常使用的话，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
没衣机机门打不开怎么办,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
我好，我新买的夜景电视h40e12。我在使用流媒体时插上u盘进去流媒体遥控器根本选择不了电影，图片什么的。所有按键没有反应，只有信号源按键有反应，是怎么回事呀？,你好：抱歉给您添麻烦了！根据您提供的信息初步判断，你所目前使用是工程机型号特定商用机，流媒下使用U盘等播放文件格式在说明书有详细注明，请按照所支持文件格式下载到U盘上观察。如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
电视没有声音，时好时坏,你好：抱歉给您添麻烦了！根据您提供的信息要看一下按下电视遥控器上静音键，再按观察，也可换个频道或使用U盘插在电视usb端口试看，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
我的无霜冰箱为什么会结大量的霜？,"尊敬的用户您好！给您添麻烦了！请检查冰箱门是否关严，是否频繁地开关冰箱门？或食品放置是不是过密？食品与食品之间一定要留有一定的空隙，这样冷藏室内的空气才能很好地对流，否则过密的食品阻碍了空气对流，使得冷藏室内不同地方温度差异较大，温控器不能及时感应到停机的温度，造成冷藏结冰，所以食品不要放置过密，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！

"
我的海尔洗衣机刚刚用了六年 下面就生锈了怎么办？其他没什么。,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
洗衣机里面不是有个放柔顺剂的格子吗？为什么放进柔顺剂却冲不进洗衣机桶里？,抱歉给您添麻烦了！建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
洗衣机洗完衣服开不了门    要关了在开才能开门,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
xp系统驱动一体机型号乐趣Q8-W209,您好，（可以使用驱动人生等相关工具进行驱动的安装）如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
洗衣机里面不是有个放柔顺剂的格子吗？为什么放进柔顺剂却冲不进洗衣机桶里？,抱歉给您添麻烦了！建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
我新买的空调，这几天冷，开暖风觉得没多大效果,"您好，室外环境温度和室内环境温度，每天随时都在变化温度，可能空调的运行时间长短受室内室外环境温度的高低，房间面积，房屋的保温效果，房屋的朝向会受到一些影响，请放心使用，如有问题，请通过首页一键维修进行报修或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
xqg80hbdx14756gu1洗衣机在甩干时1000转，噪音较大，并且会晃动，是否正常,歉给您添麻烦了！根据您提供的信息初步判断，有可能是平衡没有调整好，最终判断以服务人员现场判定为准，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
冰箱的软冷冻室，为什么东西放进去还是冻得硬邦邦的，跟冷冻室没差别。档位已经调到1了,您好，不同型号的冰箱软冷冻设置是不同的，如您按照说明书设置后还是有问题，您可电子保修卡一键报修服务人员上门为您检测一下，谢谢。
滚筒洗衣机换电机要多少钱,您好，给您添麻烦了，这个请微信报修让服务人员上门检查并出示收费手册，紧急情况请拨打客服4006999999，谢谢
储藏室有水，出水孔往外流水怎么办,尊敬的用户您好，给您添麻烦了，冰箱里有多余的水的时候出水口就是会流水到外面的哦，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
冰箱不制冷是啥毛病,"""尊敬的用户您好！给您添麻烦了！不制冷原因有很多，由于不在现场，无法准确判断，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
""
"
我家电视，内存不足。安装东西不行。就剩5MB内存。怎么办有点软件因内存不足无法正常运行。,你好：抱歉给您添麻烦了！请你卸载不常用软件，尽量安装在外接TF卡上，不占用电视内存，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
海尔冰箱冷藏室温度忽高忽低，有时12度,"您好！给您添麻烦了，根据您反映的问题，初步判定是冰箱在化霜工作，如您对此问题仍有疑问，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
"
15822950085能否回个电话？,你好非常抱歉给您添麻烦了，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
突然不制冷啦,尊敬的用户您好！给您添麻烦了！请您检查一下是否温区未打开或者档位在0档上，或传感器故障，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006999999，希望可以帮到您！
我家空调外机什么会流水？,您好，空调在化霜过程中会有水滴从室外机排出，大约10分钟左右，空调会自动重新启动制热，如漏水异常，请通过首页快速维修进行预约维修，或拨打4006999999我们会安排专业的服务人员上门
洗衣机里的柔顺剂和洗涤剂怎么用不了？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
小神童洗衣机在洗完第一次，没甩干，就出现E3，啥问题,你好非常抱歉给您添麻烦了，1：洗衣机底角是否调平，2：洗涤衣物是否过多或偏心不平衡导致，3：以上排除请通过海尔服务报修由服务人员上门检测具体原因，谢谢
才买的洗衣机把里面那个过虑渣网盒较难了,你好非常抱歉给您添麻烦了，建议你通过海尔服务报修由服务人员上门更换新的，谢谢
刚买三天BD_103DL小冰柜，发现从正面看，后边左边进压缩机的一根细管接头处从外观看上去潮湿湿，底板上还滴了一大滴油，接头处看上去像铜锈似的这是什么状况。,尊敬的用户您好！冷柜压缩机藏内是冷凝蒸发连接管，由于天气原因，有可能会出现轻微凝露现象，但很快会被蒸发掉，不会影响您的正常使用；但滴水量较大，无法蒸发的话，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
7天以内如果要退货的话，怎能处理？直接找商家吗？,尊敬的用户您好，如果七天内您要退货，请先协调一下商家，如果商家不予处理请致电我公司全国服务电话4006999999
净水器出水太小了,不搞意思，给你添麻烦了。你感觉这个出水量明显比原先较少很多，建议你拨打我们全国的服务热线：4009999999，让我们服务工程师上门检修一下机器。
买了一台海尔冰箱，像买了台拖拉机，发动机响个不停，,"尊敬的用户您好！感谢您选择海尔电器！冰箱初次上电是有几个小时的降温过程，压缩机会高速运转，建议您请让冰箱运行6小时以上观察还有无此现象，如问题不得改善，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999

"
一开机直接打智能键吗？,尊敬的用户您好！给您添麻烦了！您可以阅读一下详细的产品使用说明，按照里面标注的操作步骤与注意事项进行操作，由于不在您的身边无法准确判断您的问题，如在使用过程中遇到您自己解决不了的问题，您可通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
我家的电视剧一会是全屏一会就会变成小屏幕或者是窄屏幕，也不知道是什么原因，,"尊敬的用户您好，抱歉给您添麻烦了！请你先换个频道或信号源输入信号观察，仍无改善建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006-999-999，希望可以帮到您！
"
滚筒洗衣机，单脱用不了不转，为什么？,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
全自动滚筒洗衣机按键失灵。启动键要按好几次有时候才启动。其他预约，时间，转速，温度键都无法使用。这是怎么会事？？,有可能是按键卡滞，具体请微信报修让服务人员上门检查，谢谢
电视能不能连电脑,您好：抱歉给您添麻烦了！请你将电视端口与电脑对应使用一根或多根连接线连接后，并切换电视的信号源观察，日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
无霜冰箱的冷冻层结冰,尊敬的用户您好！给您添麻烦了！请检查冰箱门是否关严，是否频繁地开关冰箱门？或食品放置是不是过密？食品与食品之间一定要留有一定的空隙，这样冷藏室内的空气才能很好地对流，否则过密的食品阻碍了空气对流，使得冷藏室内不同地方温度差异较大，温控器不能及时感应到停机的温度，造成冷藏结冰，所以食品不要放置过密，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
无法绑定空调？,智能空调需要家庭无线路由器和互联网的支持才能使用物联相关功能，建议开通互联网。如果路由器和空调已经配置过，路由器断开网络后，可以使用手机也连接空调绑定的路由器，使用手机对空调进行本地控制。如仍不行，请拨打售后服务热线4006999999，我们会安排专业的服务人员上门
冰箱两侧发烫怎么回事,尊敬的用户您好，给您添麻烦了，冰箱制冷主要是压缩机在工作，压缩机工作一段时间是需要散热的，所以冰箱外面会发热，紧急情况直接致电4006-999-999，希望能帮到您。
我买了一台海尔卡萨帝冰箱门怎么感觉特别松。怎么回事？,尊敬的用户您好，给您添麻烦了，根据您描述的冰箱门松的情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
冰箱冷藏为什么总是16度 设置3度了 结果还是16度,尊敬的用户您好！首先感谢您选择海尔电器，冰箱初次供电或上时间不用再次供电时会有一段时间的降温过程，建议您观察2小时左右，如问题仍无改善，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
电视机为什么会自己关机,您好:抱歉给您添麻烦了！请检查是否设置了自动关机或睡眠关机，如没有请检查是否电源插头是否松动导致接触不良，如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
燃气热水器点火方式买哪种的好？,您好，不清楚您是什么问题，一般开机状态下，用水时自动打火。
我们家新买的海尔冰箱用了不到2个月就出现非常大的噪音，修了好几次了，还换了一次压缩机，现在噪音越来越大，搞得晚上都没法睡觉，你们能不能把这个问题解决，来修一次就说是正常的，然后让我观察，根本没解决实质问题，因为我刚用的时候根本没噪音，现在才出现的噪音，你跟我说是正常，让我观察，看别人家的冰箱都不这个样，你还说机型不同，就是这样解决问题的？,"	尊敬的用户您好！给您添麻烦了！如果您对应享受的售后服务不满意，您可致电400投诉反馈一下您当前的情况，只要您投诉反馈过得情况都会有专人给您核实跟进处理的，给您带来的不便请您谅解，如有紧急情况可致电海尔全国售后服务热线4006-999-999，希望我的回答能够帮到您o(∩_∩)o…"
新买的洗衣机显示屏道道划痕不会是样机吧？,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
滚筒洗衣机8公斤放多少衣服，放多了对洗衣机有啥影响,你好非常抱歉给您添麻烦了，请通过海尔服务报修由当地售后服务人员上门处理，谢谢
为什么热水器的水有刺鼻的味？而且洗澡后银镯子变成了黄色。这种带气味的水不会有化学物质吧要不怎么会让银子变色？,热水器内胆才用搪瓷防护，加热管采用不锈钢材质，进出水管采用PPR材质，这些与水接触的材质都不会产生有害物质。自来水进入内胆加热，长时间使用可能产生水垢，水中的污垢沉淀聚集，请联系售后人员对内胆进行清洗。
我问的问题怎么不回复啊？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
你好，自筒清结，怎用，多长时间,"尊敬的用户您好，桶自洁功能是利用内桶高速旋转产生的风来干燥内外桶,从而保持内外桶的清洁,防止滋生霉菌。使用：设置程序到筒自洁，在筒内或者分配器盒中放入清洗剂（如经常清洗可以不用放清洗剂），然后开始运行程序，筒自洁完成后程序自动结束。注意运行筒自洁程序不要在筒内放入衣物。希望我的回答能够帮到您o(∩_∩)o…"
我的洗衣机用了半个月发出一些吱吱吱的声音,你好非常抱歉给您添麻烦了，请通过海尔服务报修由当地售后人员上门指导处理，谢谢
滚筒洗衣机单脱水到时间一直保持在四分钟怎么回事？,您好，给您添麻烦了，这个问题原因很多，具体请微信报修让服务人员上门检查，紧急情况请拨打4006999999客服，谢谢
60升的热水器已调到70度的水温，怎么只有一个人洗澡就降到了22度,尊敬的用户您好！给您添麻烦了！请您检查一下当前功能模式是否设置正确，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您上门调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
真不明白洗衣机洗衣服的响声太大了，这才买2个月不到，出现很多问题了，海尔没以前好用了,你好非常抱歉给您添麻烦了，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
冰箱冷藏温度出现F1怎么回事？,"尊敬的用户您好！给您添麻烦了！“F1”是冰箱的信号代码，如您的冰箱显示“F1”，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
"
电视用遥控关机后，十几秒后自动就开机了，再用遥控关了后，还是这样，这样一直循环，一直不能关机,您好：抱歉给您添麻烦了！请检查电源插头是否松动或取消睡眠定时项目观察，如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
怎么连wife,你好：抱歉给您添麻烦了！海尔电视WIFI连接，在网络设置里面有有线连接和无线连接两种，你可以选择无线连接，对于有WIFI开关的机型，打开电视WIFI开关至开，仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
电视机显示屏坏了怎么换50寸的大约需要多少钱,您好：请你确定一下机型，尺寸和规格屏价格是不一样的，人员上门会出示收费标准，你也可以登Http://fuwu.rrs.com查询费用，请给予监督。感谢来询，日常如有服务需求可通过海尔服务微信服务号或APP提报服务，紧急情况可致电4006999999
我的海尔洗衣机波轮全自动洗涤时不脱水就停,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
我家海尔油烟机侧西钢化玻璃冷璃板碎了，这个可以换吗,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
衣服烘干等待机器都两个小时多了洗衣机门咋还是打不开,
我家新买的海尔双动力洗衣机，声音是特别特别大，请问是怎么回事？,
冰箱外壳外壳发烫正常吗？特别烫！,尊敬的用户您好，给您添麻烦了，冰箱制冷主要是压缩机在工作，压缩机工作一段时间是需要散热的，所以冰箱外面会发热，如果确实热的烫手的话，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您。
冰箱十年了，现在忽然不会冷冻了。是怎么回事？,尊敬的用户您好！给您添麻烦了，根据您描述的冷冻不制冷问题，由于不在现场，无法准确判定，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
启动声音大检测了我要退货,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
新的洗的时候有磨皮条的声音甩的时候也有怎么回事,抱歉给您添麻烦了！建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
我在微信里看不到服务单,尊敬的用户您好！进入海尔服务微信公众号之后——点击“我的管家”——就可以看到“我的服务单”，如有紧急情况可致电海尔全国售后服务热线4006-999-999咨询，希望我的回答能够帮到您o(∩_∩)o…
今晚七点半安装好电热水器，快十二点了水不热，加热灯一直在亮，为什么,"您好，请确认是否在加热状态，温度有没有上升，若不能排除您的问题，请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
"
我家的液晶电视海尔的怎么老是自动跳台，这是怎么回事，速速回答,您好：抱歉给您添麻烦了！重新自动搜台一遍观察，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
电视开机一会就没显示了，电源指示一直亮着，是咋回事？,尊敬的用户您好！给您添麻烦了！请您检查一下当前功能模式是否设置正确，由于不在现场，无法准确判定或调试，如在使用过程中遇到您解决不了的问题，建议您通过海尔服务微信服务号或APP报修，让专业人员给您上门调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
冰箱启动和自冷声音大,"尊敬的用户您好，很抱歉给您添麻烦了，继电器在压缩机启动前会有哒的一声，冰箱制冷管路里面有制冷剂，液态制冷剂在管路中流动，会有水流流动声音。冰箱启动或者电磁阀换向的时候是有声音的，另外冰箱在制冷和化霜的时候也有冰裂的声音，这都是正常的。由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
请问我的洗衣机，在选择所需的程序没有反应,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
72变频空调一小时的电量是多少,"是与空调设定的温度，使用的时间，房间面积及房间朝向等来测算耗电量
"
海尔冰箱怎么连接wifi型号:BCD-451WDEMU1,尊敬的用户您好！给您添麻烦了！您可以阅读一下详细的产品使用说明，按照里面标注的操作步骤与注意事项进行操作，由于不在现场无法准确判断您的问题，您也可以通过扫描机身二维码或打开海尔服务微信服务号联系在线客服，或直接致电4006-999-999，希望可以帮到您！
你好，我的冰箱冷冻室不制冷，总是0度，是怎么回事？,尊敬的用户您好，给您添麻烦了，根据您描述的情况建议您看一下冷冻室确实是零度还是只是温度显示零度里面不是，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
请问冰箱冷藏室结霜是什么原因?,尊敬的用户您好！给您添麻烦了！请检查下是否冰箱门没有关好，冷冻门封是否有闪缝现象，确认下门封的密封性，以上几种情况都会造成结霜的情况发生。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
冰箱跳闸,"尊敬的用户您好！给您添麻烦了，根据您描述的冰箱自动跳闸问题，由于不在现场无法准确判断，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
"
新买的对开门冰箱，门外面版用的是智能模式，门里面冷藏室用的是疏果功能，才刚用一星期发现冷藏室最下层的保鲜盒里的疏菜冻住了，结了冰，向售后反馈，维修师傅来了，说这种冰箱冷藏室下层有0度，没办法，而单门和大的对开门不会有，是真的吗？我该怎么办？如是真的，这种缺陷海尔不能改进解决吗？,尊敬的用户您好！给您添麻烦了！根据您反馈的冰箱问题，由于不在现场，无法准确判定或调试，请提供一下您的姓名，报修电话，地址等信息，我们尽快安排人员和您联系，或者您也可通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
冰箱不工作怎么回事？,尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况建议您看一下电源有没有插好或者插排有没有电，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
燃气热水器JSQ24-wS2(12T)显示Co正常吗？,您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
你好，我家的空调怎么不制热了，开了40多分钟没,"请通过首页快速维修进行报修，或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
325冰箱一直有水冒泡的声音是怎么回事儿？,"""尊敬的用户您好！您反应的咕噜声音，在冰箱的说明书中有详细的说明，冰箱制冷管路里面有制冷剂，液态制冷剂在管路中流动，会有水流流动声音。如果您需要专业人员上门诊断下，可以通过微信报修
""
"
空调外机下面漏水啥情况？这种情况咋办,"您好，室外机流水现象是空调除霜的过程，不是都要流水，要看室外空气湿度和开机设定温度很高，长时间运行决定的，传感器检测达到条件，自然就会自动除霜的，谢谢。
"
我家热水器卸压阀处的冷水是热的,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，请您确认是否是进水管部位安全阀泄压口滴水，若是属于正常现象，是为了保护内胆压力低于额定压力，如果不是以上问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
想要安装工的手机号码,你好：抱歉给您添麻烦了！根据您提供的信息初步，如果你有问题拨打服务热线后，服务人员会与你联系的，这时你就会有服务人员联系号码，日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
冰箱不制冷了，维修人员过来看了说是制冷的氟里面的管线坏了，需要拉走修理。更换管线，重新灌氟，费用500元。请问这样维修后，使用年限大概有多久？,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
"洗衣机脱水时 ,水从底下往出漏水,不从管子里出",你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
我家是滚筒的全自动洗衣机，洗衣服到最后脱水环节，振动的相当厉害，感觉洗衣机要解体了，怎么回事？,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
空调制暖慢,您好，由于室外机环境温度低，压缩机在制热过程中负荷略大，且空调制热，一般需要预热10分钟以上，才会正常出热风，刚开机时是不会马上出热风的，这是设计防冷风的功能。日常如有服务需求可通过海尔服务微信服务号或APP提报服务，紧急情况可致电4006999999
滾桶洗衣机不脱水，重新起动又开始注水，怎么回事啊？,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
海尔对开冰箱保鲜室水果老冻,"尊敬的用户您好！给您添麻烦了！根据您描述的冷藏智冷深问题，建议您将冷藏温度往上调整，日常如有服务需求可以通过海尔服务APP快速维修等版块提报服务需求。 
""""
""
"
家里安装的燃气热水器排风口防风的地方为什么一会一会啪啪的响,您好，防风罩部位有个挡风盖，避免风逆向进入产品冻坏机器，根据您的描述可能是此处的声音
滚筒全自动洗衣机选的简自洁模式，洗完衣服是热的，水管并没有接热水，是怎么回事？,程序可能默认加热洗，具体可参照说明书
洗衣是刚设置好，跳出RL，然后又正常洗了，是什么问题,你好非常抱歉给您添麻烦了，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
洗完衣服门不开咋回事啊,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
你好，我刚买的冰箱，冷藏室和冷冻室怎么调不了，只有变温室能调，是什么原因呢？,尊金的用户您好！感谢您选择海尔电器！建议您查看一下冰箱是否是在锁定状态；请您解锁后进行设定温度。如解锁状态下仍无法调节，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
我昨天刚安装的海尔热水器，水温到75度后，为什么只出凉水没有热水呢？,您好，请确认热水器进水阀门是否打开，热水器内部的水靠进水压力压出。
滚筒洗衣机怎么调屏幕上的时间，就是缩短时间洗衣服，,你好非常抱歉给您添麻烦了，这个需要根据具体型号才可以确定是否可以调整时间，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
刚买的空调 售后人员安装过后 再次打开制热 制冷 都没用了,"您好，请通过首页一键维修进行报修，或拨打4006999999我们会安排专业的服务人员上门服务，谢谢。
"
洗衣机平凡出现排水异常，右下角没有堵塞现象。,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
冷冻抽箱关不严,尊敬的用户您好！给您添麻烦了！请检查是否食品放置过多造成的，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
今天中午刚刚新装了一台JSQ-UT（12T）的热水器，刚刚洗澡时发现水一点压力都没有，我买的是12升的哦，还没有楼下同样型号10升的水压大，换掉的那个热水器原来用时压力很大的，这是什么问题？,您好，请确认水源压力是否正产，进水阀门是否打开，若不能解决您的问题，请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
插上电，一会就故障报警,尊敬的用户您好，给您添麻烦了，根据您描述的情况建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
请问海尔空调的过滤网怎么拆下来,尊敬的用户您好，给您添麻烦了，根据您描述的情况建议您捏住外壳两边往上掀开，将滤网往上推出卡口即可取下，您也可以参考说明书具体操作一下试试，或者直接致电4006-999-999，希望可以帮到您！
用单脱水时间很长，而且报警器响的时候拿出来还是湿的，是哪里设置不对吗？,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
冰箱显示屏一直亮着是什么情况呀！,尊敬的用户您好！感谢您选择海尔电器，冰箱门关闭且设定时间内没有按键操作时，显示屏自动熄灭；如显示屏常亮，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
燃气热水器洗一会澡自动就出凉水了，咋解决,您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
油烟机清洗之后，少了一个件，能配吗,您好，您可以致电4006999999或微信号，反馈您的需求，我们会尽快安排专业人员为您服务。感谢使用海尔产品。
我的冷柜上面不冻下面冻咋回事？,尊敬的用户您好，给您添麻烦了，根据您描述的情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
电视在黑屏时屏幕中间能看到一块白斑！请问怎么回事,您好：抱歉给您添麻烦了！请你换个频道节目观察，初步分析是信号原因，也可使用U盘拷贝视频插到电视usb端口上进一步确认，如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
